"MLS #","Subdivision","Price","Approx SQFT","Full Baths","Beds","Closed Date","Days On Market","Address","City","Status","List Agent - Agent Name and Phone","List Office - Office Name"
"19015601","Metes & Bounds","$700","1200","2","3","5/17/2019","4","10 Dina","Cabot","Leased","Danny N Brightwell","RE/MAX Encore"
"26024556","Lewis Bailey","$1,095","1008","2","3",,"47","120 Suda Street","Cabot","Active","Haley B Sansom - Agent: 501-676-8737","Mid South Realty"
"25038350","BT Laney","$1,300","1099","2","3","3/16/2026","169","2512 W Martin St","Conway","Leased","Yolanda Hervey - Agent: 501-951-0057","Century 21 Parker & Scroggins Realty - Conway"
"25038359","BT Laney","$1,300","1099","2","3","3/25/2026","178","2512 W Martin St","Conway","Leased","Alexis Hervey - Agent: 501-764-8386","Century 21 Parker & Scroggins Realty - Conway"
"26030406","THOMAS' ACRES","$1,325","1200","2","3",,"7","211 Thomas Circle","Lonoke","Active","Valerie L Daniels - Agent: 501-628-8186","Iron Hog Construction & Realty, LLC"
"26027289","Not in Subdivision","$1,350","1280","2","3",,"27","7205 Brixie Road","Little Rock","Active","Holly Driver - Agent: 501-912-5231","Signature Properties"
"25041361","John Stamps","$1,395","1400","2","3",,"292","1516 S bailey","Jacksonville","Active","Heather Marshall - Agent: 501-350-0540","Blair & Co. Realtors"
"25045935","John Stamps","$1,395","1404","2","3","6/8/2026","198","1515 stamps","Jacksonville","Leased","Heather Marshall - Agent: 501-350-0540","Blair & Co. Realtors"
"24042639","Sherwood Estates","$1,395","1310","2","3","4/15/2025","137","3113 Whispering Oak A","Bryant","Leased","Kelly E Tucker - Agent: 501-562-3939","Pro Realty, Inc."
"25038943","PAW'S PLACE","$1,450","1430","2","3","4/14/2026","200","18 Bobby Eugene Drive","Ward","Leased","James H Knaack - Agent: 501-773-1487","PorchLight Realty"
"26001483","South Highland","$1,495","1370","2","3","3/16/2026","56","3401 W 17th Street","Little Rock","Leased","Michael P Griffin - Agent: 501-454-4552","Mid South Realty"
"26001444","South Highland","$1,495","1370","2","3","3/13/2026","54","3403 W 17th Street","Little Rock","Leased","Michael P Griffin - Agent: 501-454-4552","Mid South Realty"
"16016251","Summerwood","$1,495","2579","2","4","8/15/2016","75","1601 Winbourne Drive","North Little Rock","Leased","Kristine R Barnello - Agent: 501-658-5342","Michele Phillips & Co. Realtors"
"24006726","Homestead","$1,500","1470","2","4","4/19/2024","18","33 Curly Leaf Lane","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"24010467","Homestead","$1,500","1355","2","3","5/31/2024","36","21 Curly Leaf","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"26024128","STAGECOACH MEADOWS","$1,550","1481","2","4","7/31/2026","46","90 Kinley Brook Lane","Cabot","Leased","Holly R Clark - Agent: 501-843-4473","CENTURY 21 Real Estate Unlimited"
"26000289","WHITE OAK CROSSING","$1,550","2025","2","3","1/23/2026","21","10805 Mason Drive","North Little Rock","Leased","Jamie M Hoffman - Agent: 501-232-8964","River Rock Realty Company"
"25030926","Homestead","$1,575","1559","2","4","8/17/2025","9","4 Curly Leaf","Conway","Leased","Peggy Goodman - Agent: 501-676-1758","McKimmey Associates, Realtors - 50 Pine"
"26023968","Benton","$1,600","1375","2","3",,"50","921 Banner Street","Benton","Active","Takeia S Johnson - Agent: 501-541-0055","Mid South Realty"
"26001867","Homestead","$1,600","1470","2","4","3/6/2026","25","33 Curly Leaf Lane","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"26007956","STAGECOACH MEADOWS","$1,600","1481","2","4","4/24/2026","53","90 Kinley Brook Lane","Cabot","Leased","James H Knaack - Agent: 501-773-1487","PorchLight Realty"
"26018165","STAGECOACH MEADOWS","$1,600","1459","2","4","5/13/2026","7","15 Maddison Rachael","Cabot","Leased","James H Knaack - Agent: 501-773-1487","PorchLight Realty"
"25038512","Hillard","$1,600","1375","2","3","12/10/2025","75","921 Banner Street","Benton","Leased","Michael P Griffin - Agent: 501-454-4552","Mid South Realty"
"26022678","GALLOWAYS ADDN","$1,650","1230","2","3",,"59","413 & 415 E Center St","Jacksonville","Active","Angel Monroe - Agent: 501-766-5328","IRealty Arkansas - Sherwood"
"23020463","Westhaven 1","$1,650","1732","2","3","7/24/2023","19","700 Dakota Street","Cabot","Leased","James H Knaack - Agent: 501-773-1487","PorchLight Realty"
"25038942","PAW'S PLACE","$1,650","1430","2","3","10/27/2025","31","16 Bobby Eugene Drive","Ward","Leased","James H Knaack - Agent: 501-773-1487","PorchLight Realty"
"25039381","Jonesboro City","$1,700","2000","2","3",,"306","615 E Word Street","Jonesboro","Active","Candice Mabry - Agent: 713-385-2842","Halsey Real Estate"
"24044305","STAGECOACH MEADOWS","$1,700","1481","2","4","1/17/2025","37","90 Kinley Brook Lane","Cabot","Leased","James H Knaack - Agent: 501-773-1487","PorchLight Realty"
"24022890","HILLDALE CROSSING","$1,700","1470","2","4","7/8/2024","10","5017 Windflower","Alexander","Leased","Kaylee N Hampton - Agent: 501-860-2375","IRealty Arkansas - Benton"
"24030091","Diamondhead P1","$1,725","1356","2","3","12/31/2025","85","226 Scenic Drive","Hot Springs","Leased","Chaley Carter - Agent: 501-773-7258","Century 21 Parker & Scroggins Realty - Hot Springs"
"25021538","Hillard","$1,795","1375","2","3","7/9/2025","38","921 Banner Street","Benton","Leased","Michael P Griffin - Agent: 501-454-4552","Mid South Realty"
"25048955","Eureka","$1,800","1480","2","3",,"231","918 S. Reine","Mena","Active","Brianna C Cook","Select Realty"
"26027670","SOUTHFORK RANCH S/D PH I","$1,800","1613","2","4",,"25","109 Powder River Drive","Beebe","Active","James H Knaack - Agent: 501-773-1487","PorchLight Realty"
"26016647","STONE CANYON ADDITION SUBDIVISON","$1,850","1875","2","4","5/13/2026","18","245 Bighorn Trail","Maumelle","Leased","Robbie Sherman","Real Property Management Central AR"
"25028717","Little Rock","$1,895","1480","2","4","11/14/2025","113","2315 Nichols Road","Little Rock","Leased","Takeia S Johnson - Agent: 501-541-0055","Mid South Realty"
"26005819","Wisteria Vineyard","$1,900","1572","2","3","4/25/2026","43","545 Wisteria Drive","Bauxite","Leased","Cynthia Cooper Trammel - Cell: 501-553-7203","Fathom Realty Central"
"24032103","Point West 5th","$1,975","1500","2","3","11/1/2024","61","13200 Teton Drive","Little Rock","Leased","Swaminath Kamishetty - Agent: 732-423-6960","Rackley Realty"
